Ordem;Operação;Chave de controle;Centro de trabalho;Txt.breve operação;Quantidade operação (MEINH);Qtd.boa confirmada (MEINH);Refugo confirmado (MEINH);Confirmação atividade 2 (ILE02);Data início real de execução;Data fim real da execução
2794806;0060;ZQ01;IB329112;RET/ LAP PISTA;2.030;2.087;5;609;04/05/2024;07/05/2024
2794806;1000;ZP10;IB329900;QA/LOG/SCH;2.030;1.822;0;94,744;08/05/2024;15/05/2024
2794806;1001;ZP05;IB-CPL01;MAP-docs ADD, veja Procella (IT, PC,...);2.030;0;0;0,000;;
2809093;0031;ZP26;IB324528;APONTAMENTO WASTE - SFC;2.145;0;9;0,000;29/05/2024;29/05/2024
2809093;0010;ZP04;IB323525;TRATAMENTO TÉRMICO;2.145;0;0;0;08/05/2024;29/05/2024
2809093;0020;ZP04;IB023610;JATEAR;2.145;0;0;0;08/05/2024;29/05/2024
2809093;0030;ZQ04;IB324528;RETIFICAR FACE 1º PASSE;2.145;0;0;0;08/05/2024;29/05/2024
2809093;0040;ZP01;IB324528;RETIFICAR FACE 2º PASSE;2.145;2.145;0;32,175;08/05/2024;29/05/2024
2809093;0050;ZP04;IB329109;RETIFICAR DIÂMETRO EXTERNO;2.145;2.137;0;96,165;08/05/2024;29/05/2024
2809093;0055;ZP05;IB-TXT01;OLEAR;2.145;0;0;0,000;;
2809093;0060;ZP01;IB324876;RETIFICAR DIÂMETRO INTERNO;2.145;2.121;16;857;08/05/2024;10/05/2024
2809093;0070;ZP28;IB-ENV01;ENV. TERCEIRO;2.145;2.162;0;0,000;08/05/2024;09/05/2024
2809093;0071;ZP07;IB008838;APLICAR CORROTECT / DESIDROGENAR KOES;2.145;2.162;0;0,000;09/05/2024;10/05/2024
2809093;0072;ZP05;IB-REC01;REC. TERCEIRO;2.145;0;0;0,000;;
2809093;0080;ZQ01;IB329179;RET.PISTA /INTERNO / LAPIDAR;2.145;2.148;0;793;09/05/2024;10/05/2024
2809093;1000;ZP10;IB329900;QA/LOG/SCH;2.145;2.120;0;163,240;13/05/2024;29/05/2024
2809093;1001;ZP05;IB-CPL01;MAP-docs ADD, veja Procella (IT, PC,...);2.145;0;0;0,000;;
2814134;0010;ZP04;IB323525;TRATAMENTO TÉRMICO;2.439;2.399;0;69,571;30/04/2024;30/04/2024
2814134;0020;ZP04;IB023610;JATEAR;2.439;2.399;0;227,905;30/04/2024;30/04/2024
2814134;0030;ZQ04;IB324528;RETIFICAR FACE 1º PASSE;2.439;0;2;0,000;29/04/2024;29/04/2024
2814134;0040;ZQ04;IB324528;RETIFICAR FACE 2º PASSE;2.439;2.397;0;35,955;30/04/2024;30/04/2024
2814134;0050;ZP04;IB329107;RETIFICAR DIAM. EXT. 1º PASSE;2.439;2.397;0;117,453;30/04/2024;30/04/2024
2814134;0060;ZP04;IB329107;RETIFICAR DIAM. EXT. 2º PASSE;2.439;2.397;0;117,453;30/04/2024;30/04/2024
2814134;0065;ZP05;IB-TXT01;OLEAR;2.439;0;0;0,000;;
2814134;0070;ZP01;IB324876;RETIFICAR DIÂMETRO INTERNO;2.439;2.396;1;969;30/04/2024;04/05/2024
2814134;0080;ZP28;IB-ENV01;ENV. TERCEIRO;2.439;2.461;0;0,000;02/05/2024;03/05/2024
2814134;0081;ZP07;IB008838;APLICAR CORROTECT / DESIDROGENAR KOES;2.439;2.461;0;0,000;04/05/2024;04/05/2024
2814134;0082;ZP05;IB-REC01;REC. TERCEIRO;2.439;0;0;0,000;;
2814134;0090;ZQ01;IB329179;RET.PISTA/LAPIDAR;2.439;2.436;0;976;04/05/2024;07/05/2024
2814134;1000;ZP10;IB329900;QA/LOG/SCH;2.439;2.401;0;256,907;10/05/2024;16/05/2024
2814134;1001;ZP05;IB-CPL01;MAP-docs ADD, veja Procella (IT, PC,...);2.439;0;0;0,000;;
2817831;0010;ZP05;IB-TXT01;RECEBER DISCO ESTAMPADO (0053);16.658;0;0;0,000;;
2817831;0020;ZP04;IB323525;TEMP/REVENIR IUA 900 Kg - EMB. CTN;16.658;16.065;0;594,405;21/05/2024;21/05/2024
2817831;0030;ZP04;IB324501;RETIFICAR FACES 1° PASSE - EMB. CTN;16.658;16.065;0;572,557;21/05/2024;21/05/2024
2817831;0040;ZP04;IB324501;RETIFICAR FACES 2° PASSE - EMB. CTN;16.658;16.065;0;572,557;21/05/2024;21/05/2024
2817831;0050;ZP04;IB324501;RETIFICAR FACES 3° PASSE - EMB. CTN;16.658;16.065;0;572,557;21/05/2024;21/05/2024
2817831;0060;ZP04;IB324501;RETIFICAR FACES 4° PASSE - EMB. CTN;16.658;0;8;0,000;02/05/2024;06/05/2024
2817831;0070;ZP04;IB024640;RETICAR DIAM. EXT. 1° PASSE - EMB. CTN;16.658;16.057;0;176,627;21/05/2024;21/05/2024
2817831;0080;ZP04;IB024640;RETICAR DIAM. EXT. 2° PASSE - EMB. CTN;16.658;16.057;0;176,627;21/05/2024;21/05/2024
2817831;0090;ZP04;IB024640;RETICAR DIAM. EXT. 3° PASSE - EMB. CTN;16.658;16.057;0;176,627;21/05/2024;21/05/2024
2817831;0105;ZP28;IB-ENV01;ENV.TERCEIROS;16.658;16.057;0;0,000;21/05/2024;21/05/2024
2817831;0110;ZP07;IB008808;MOT-TORNEAR DIAMETRO INTERNO - USINAFER;16.658;16.057;0;0,000;27/05/2024;13/06/2024
2817831;0115;ZP05;IB-REC01;REC.TERCEIROS;16.658;0;0;0,000;;
2817831;0120;ZP04;IB324010;TAMBOREAR - ROESLER AXIAL (30 MIN/1CX);16.658;16.650;0;1.038,960;31/05/2024;21/06/2024
2817831;0125;ZP05;IB-TXT01;SECAR - TAMBOR SPIRATRON SEC.SABUGO;16.658;0;0;0,000;;
2817831;0130;ZP04;IB329273;ESCOLHER VISUAL/ EMBALAR;16.658;16.650;0;865,800;31/05/2024;21/06/2024
2817831;0135;ZP05;IB-TXT01;CONTROLAR 100% NO PINO MINIMO;16.658;0;0;0,000;;
2817831;1000;ZP10;IB329900;QA/LOG/SCH;16.658;16.650;0;566,100;31/05/2024;21/06/2024
2817831;1001;ZP05;IB-CPL01;MAP-docs ADD, veja Procella (IT, PC,...);16.658;0;0;0,000;;
2817950;0010;ZP05;IB-TXT01;RECEBER DISCO ESTAMPADO (0053);6.800;0;0;0,000;;
2817950;0020;ZP04;IB323525;TEMP/REVENIR IUA 900 Kg - EMB. CTN;6.800;6.788;0;217,216;14/05/2024;14/05/2024
2817950;0030;ZP04;IB324501;RETIFICAR FACES 1° PASSE - EMB. CTN;6.800;6.788;0;219,931;14/05/2024;14/05/2024
2817950;0040;ZP04;IB324501;RETIFICAR FACES 2° PASSE - EMB. CTN;6.800;6.788;0;219,931;14/05/2024;14/05/2024
2817950;0050;ZP04;IB324501;RETIFICAR FACES 3° PASSE - EMB. CTN;6.800;6.788;0;219,931;14/05/2024;14/05/2024
2817950;0060;ZP04;IB324501;RETIFICAR FACES 4° PASSE - EMB. CTN;6.800;6.786;2;220,255;06/05/2024;31/05/2024
